%time,field.data
619034000000,0.37535983975
619123000000,0.397219048719
619223000000,0.431660594752
619323000000,0.497562285574
619423000000,0.582030901759
619524000000,0.649619464718
619623000000,0.687249844143
619723000000,0.668014098838
619823000000,0.5700183375
619923000000,0.344504310145
620023000000,0.454643003402
620123000000,0.902232343352
620223000000,1.54990656084
620323000000,2.29997378631
620423000000,3.14155942741
620523000000,3.89389563449
620623000000,4.82037280666
620723000000,5.61438113759
620823000000,6.45414954724
620923000000,7.21324618548
621023000000,8.05627255812
621123000000,8.73634540335
621223000000,9.57238241587
621323000000,10.311017665
621423000000,11.1394992102
621523000000,11.9174221365
621623000000,12.8175824073
621723000000,13.7607693451
621823000000,14.5473970833
621923000000,15.214718201
622023000000,16.1692442779
622123000000,16.8811591099
622223000000,17.6269379442
622323000000,18.3525912822
622423000000,19.125986761
622523000000,19.7894379233
622623000000,20.4397627471
622723000000,21.0828604715
622823000000,21.6920038376
622923000000,22.1919203859
623023000000,22.7455842897
623123000000,23.2920934613
623223000000,23.8543267614
623323000000,24.4253674276
623423000000,25.0117974613
623523000000,25.5725448301
623623000000,26.1257597991
623723000000,26.6958589834
623823000000,27.1491386211
623923000000,27.6804148551
624023000000,28.1643339943
624123000000,28.6679329601
624223000000,29.1384752682
624323000000,29.4508634205
624423000000,29.7620863612
624523000000,29.9485720843
624623000000,30.1751777712
624723000000,30.4055280397
624823000000,30.7854454162
624923000000,31.0972370573
625023000000,31.6866127705
625123000000,32.2444020023
625223000000,33.0209812431
625323000000,33.4998971766
625423000000,33.9893042648
625523000000,34.4097426965
625623000000,34.7700116689
625723000000,35.1554905203
625823000000,35.5498100645
625923000000,35.9261764186
626023000000,36.2745900541
626123000000,36.5886158662
626223000000,36.8120205438
626323000000,37.1152732365
626423000000,37.3942450722
626524000000,37.6776205651
626623000000,37.858239636
626723000000,38.0188143541
626824000000,38.2228466589
626923000000,38.4228045386
627023000000,38.5829702267
627123000000,38.7370827192
627223000000,38.8684927555
627323000000,39.0327821899
627423000000,39.1632947062
627523000000,39.2337748657
627623000000,39.3822335524
627723000000,39.4913499154
627824000000,39.5228103914
627924000000,39.6534562995
628023000000,39.7569007566
628123000000,39.8688323398
628223000000,39.8609345743
628323000000,39.9422807298
628423000000,40.0112469058
